testNo, repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.600, 979.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.530, -64.872, 0.954, -1.687, -0.174, -1.490, 0.000, 1.500, 1.600, 979.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.700, 979.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.547, -65.021, 0.954, -1.687, -0.173, -1.490, 0.000, 1.500, 1.700, 979.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.800, 979.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.564, -65.170, 0.953, -1.686, -0.173, -1.490, 0.000, 1.500, 1.800, 979.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.900, 980.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.582, -65.319, 0.953, -1.686, -0.173, -1.490, 0.000, 1.500, 1.900, 980.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.000, 980.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.604, -65.468, 0.953, -1.701, -0.185, -1.488, 0.000, 1.500, 2.000, 980.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.100, 980.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.626, -65.616, 0.952, -1.708, -0.198, -1.487, 0.000, 1.500, 2.100, 980.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.200, 980.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.648, -65.765, 0.952, -1.711, -0.205, -1.486, 0.000, 1.500, 2.200, 980.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.259, -7.995, 0.129, -2.077, 0.139, -1.092, -0.000, 1.101, 2.300, 980.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.669, -65.913, 0.951, -1.713, -0.210, -1.485, 0.000, 1.500, 2.300, 980.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.247, -8.168, 0.128, -2.013, 0.434, -2.360, -0.000, 2.399, 2.400, 980.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.691, -66.061, 0.951, -1.714, -0.212, -1.485, 0.000, 1.500, 2.400, 980.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.208, -8.450, 0.128, -1.911, 0.897, -3.363, -0.000, 3.481, 2.500, 980.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.712, -66.210, 0.951, -1.714, -0.213, -1.485, 0.000, 1.500, 2.500, 980.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.121, -8.817, 0.128, -1.780, 1.556, -4.081, -0.000, 4.367, 2.600, 980.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.734, -66.358, 0.950, -1.714, -0.214, -1.485, 0.000, 1.500, 2.600, 980.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -25.987, -9.243, 0.147, -1.632, 2.243, -4.374, 0.146, 4.918, 2.700, 980.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.753, -66.507, 0.950, -1.709, -0.210, -1.485, 0.000, 1.500, 2.700, 980.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -25.767, -9.688, 0.157, -1.476, 3.025, -4.411, 0.068, 5.349, 2.800, 980.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.773, -66.656, 0.949, -1.706, -0.205, -1.486, 0.000, 1.500, 2.800, 980.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -25.473, -10.128, 0.161, -1.318, 3.730, -4.132, 0.031, 5.567, 2.900, 981.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.793, -66.804, 0.949, -1.705, -0.202, -1.486, 0.000, 1.500, 2.900, 981.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -25.114, -10.528, 0.163, -1.161, 4.274, -3.542, 0.014, 5.551, 3.000, 981.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.813, -66.953, 0.949, -1.704, -0.201, -1.487, 0.000, 1.500, 3.000, 981.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -24.709, -10.879, 0.164, -1.015, 4.560, -3.011, 0.020, 5.465, 3.100, 981.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.833, -67.102, 0.948, -1.704, -0.200, -1.487, 0.000, 1.500, 3.100, 981.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -24.277, -11.174, 0.155, -0.883, 4.616, -2.654, -0.242, 5.330, 3.200, 981.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.852, -67.251, 0.948, -1.704, -0.199, -1.487, 0.000, 1.500, 3.200, 981.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -23.834, -11.427, 0.141, -0.766, 4.704, -2.056, -0.112, 5.135, 3.300, 981.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.871, -67.399, 0.948, -1.700, -0.196, -1.487, 0.000, 1.500, 3.300, 981.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -23.385, -11.652, 0.134, -0.674, 4.646, -2.040, -0.051, 5.074, 3.400, 981.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.890, -67.548, 0.947, -1.698, -0.193, -1.488, 0.000, 1.500, 3.400, 981.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -22.936, -11.864, 0.131, -0.604, 4.602, -1.873, -0.023, 4.969, 3.500, 981.604, 0.000
