testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.475, -134.585, 0.151, -2.157, -0.239, -0.062, -0.005, 0.247, 1.500, 290.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.600, 290.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.456, -134.589, 0.151, -2.167, -0.167, 0.023, -0.002, 0.168, 1.600, 290.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.700, 290.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.449, -134.589, 0.151, -2.170, -0.010, -0.001, 0.001, 0.010, 1.700, 290.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.800, 290.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.449, -134.589, 0.151, -2.170, -0.002, -0.000, -0.001, 0.002, 1.800, 290.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.900, 290.727, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.448, -134.589, 0.151, -2.171, -0.002, -0.000, -0.001, 0.002, 1.900, 290.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.000, 290.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.448, -134.589, 0.151, -2.171, -0.002, -0.000, -0.000, 0.002, 2.000, 290.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.100, 290.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.448, -134.589, 0.151, -2.171, -0.002, -0.000, -0.000, 0.002, 2.100, 290.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.200, 291.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.448, -134.589, 0.151, -2.171, -0.002, -0.000, -0.000, 0.002, 2.200, 291.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.300, 291.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.448, -134.589, 0.151, -2.171, -0.002, -0.000, -0.000, 0.002, 2.300, 291.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.136, 0.129, -2.092, 0.026, -0.332, -0.000, 0.333, 2.400, 291.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.448, -134.589, 0.151, -2.171, -0.002, -0.000, -0.000, 0.002, 2.400, 291.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.255, -98.247, 0.129, -2.050, 0.272, -1.764, -0.000, 1.785, 2.500, 291.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.404, -134.608, 0.150, -2.190, -1.096, -0.363, -0.022, 1.155, 2.500, 291.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.233, -98.478, 0.128, -1.966, 0.602, -2.921, -0.000, 2.982, 2.600, 291.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.237, -134.673, 0.146, -2.257, -2.362, -0.631, -0.027, 2.445, 2.600, 291.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.205, -98.827, 0.128, -1.867, 0.484, -4.138, 0.000, 4.166, 2.700, 291.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 15.962, -134.759, 0.143, -2.360, -3.462, -0.626, -0.022, 3.518, 2.700, 291.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.202, -99.291, 0.128, -1.785, 0.146, -5.108, 0.000, 5.111, 2.800, 291.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 15.588, -134.841, 0.139, -2.491, -4.414, -0.387, -0.031, 4.431, 2.800, 291.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.212, -99.834, 0.128, -1.722, 0.100, -5.712, 0.001, 5.713, 2.900, 291.727, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 15.121, -134.913, 0.134, -2.630, -5.248, -0.306, -0.050, 5.257, 2.900, 291.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.218, -100.419, 0.129, -1.672, 0.097, -5.954, -0.000, 5.955, 3.000, 291.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 14.580, -134.973, 0.128, -2.760, -5.777, -0.129, -0.046, 5.779, 3.000, 291.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.218, -101.011, 0.129, -1.636, 0.159, -5.884, -0.000, 5.886, 3.100, 291.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 13.999, -135.010, 0.124, -2.871, -5.963, 0.056, -0.016, 5.963, 3.100, 291.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.208, -101.587, 0.129, -1.607, 0.185, -5.651, -0.000, 5.654, 3.200, 292.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 13.416, -135.010, 0.125, -2.969, -5.823, 0.474, 0.020, 5.842, 3.200, 292.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.195, -102.136, 0.129, -1.587, 0.214, -5.366, -0.000, 5.370, 3.300, 292.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 12.849, -134.983, 0.127, -3.045, -5.600, 0.577, 0.015, 5.630, 3.300, 292.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.172, -102.657, 0.130, -1.567, 0.327, -5.098, -0.000, 5.109, 3.400, 292.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 12.306, -134.940, 0.129, -3.102, -5.340, 0.544, 0.005, 5.367, 3.400, 292.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.143, -103.155, 0.129, -1.550, 0.362, -4.906, -0.003, 4.919, 3.500, 292.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 11.786, -134.903, 0.129, -3.136, -5.095, 0.468, 0.002, 5.116, 3.500, 292.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.118, -103.640, 0.129, -1.541, 0.263, -4.799, 0.000, 4.807, 3.600, 292.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 11.287, -134.867, 0.129, 3.124, -4.912, 0.383, -0.002, 4.927, 3.600, 292.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.094, -104.117, 0.129, -1.536, 0.248, -4.750, 0.001, 4.757, 3.700, 292.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 10.803, -134.837, 0.129, 3.112, -4.799, 0.332, 0.001, 4.810, 3.700, 292.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.076, -104.591, 0.129, -1.536, 0.159, -4.747, 0.000, 4.750, 3.800, 292.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 10.326, -134.809, 0.129, 3.104, -4.747, 0.247, 0.001, 4.753, 3.800, 292.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.061, -105.067, 0.129, -1.536, 0.148, -4.761, 0.000, 4.763, 3.900, 292.727, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 9.852, -134.788, 0.129, 3.102, -4.740, 0.199, 0.001, 4.744, 3.900, 292.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.039, -105.542, 0.129, -1.532, 0.262, -4.746, 0.000, 4.753, 4.000, 292.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 9.378, -134.770, 0.129, 3.103, -4.740, 0.140, 0.001, 4.742, 4.000, 292.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.013, -106.016, 0.129, -1.528, 0.277, -4.737, 0.000, 4.746, 4.100, 292.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 8.904, -134.757, 0.129, 3.106, -4.733, 0.116, 0.001, 4.734, 4.100, 292.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.992, -106.490, 0.129, -1.528, 0.183, -4.733, 0.000, 4.737, 4.200, 293.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 8.431, -134.745, 0.129, 3.110, -4.726, 0.082, 0.000, 4.726, 4.200, 293.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.974, -106.963, 0.129, -1.530, 0.170, -4.726, 0.000, 4.729, 4.300, 293.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 7.959, -134.736, 0.129, 3.114, -4.718, 0.068, 0.000, 4.719, 4.300, 293.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.958, -107.435, 0.129, -1.532, 0.121, -4.750, 0.000, 4.751, 4.400, 293.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 7.488, -134.729, 0.129, 3.117, -4.711, 0.068, 0.000, 4.712, 4.400, 293.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.946, -107.933, 0.129, -1.536, 0.111, -5.139, 0.004, 5.140, 4.500, 293.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 7.009, -134.732, 0.129, 3.127, -4.942, -0.135, 0.000, 4.944, 4.500, 293.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.930, -108.460, 0.129, -1.537, 0.219, -5.352, -0.000, 5.357, 4.600, 293.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 6.497, -134.743, 0.129, 3.139, -5.244, -0.165, 0.002, 5.247, 4.600, 293.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.906, -109.001, 0.129, -1.533, 0.275, -5.439, -0.001, 5.446, 4.700, 293.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 5.963, -134.754, 0.129, -3.137, -5.399, -0.116, -0.000, 5.400, 4.700, 293.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.881, -109.546, 0.129, -1.531, 0.217, -5.446, -0.000, 5.450, 4.800, 293.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 5.419, -134.763, 0.129, -3.133, -5.450, -0.089, -0.000, 5.451, 4.800, 293.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.861, -110.089, 0.129, -1.532, 0.180, -5.409, -0.000, 5.412, 4.900, 293.727, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 4.875, -134.770, 0.129, -3.132, -5.435, -0.075, -0.000, 5.436, 4.900, 293.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.846, -110.627, 0.129, -1.536, 0.117, -5.357, -0.000, 5.358, 5.000, 293.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 4.334, -134.777, 0.129, -3.131, -5.390, -0.056, -0.000, 5.390, 5.000, 293.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.834, -111.160, 0.129, -1.540, 0.102, -5.307, -0.000, 5.308, 5.100, 293.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 3.798, -134.782, 0.129, -3.132, -5.337, -0.047, -0.000, 5.337, 5.100, 293.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.815, -111.687, 0.129, -1.537, 0.240, -5.259, -0.000, 5.265, 5.200, 294.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 3.267, -134.786, 0.129, -3.132, -5.290, -0.034, -0.000, 5.291, 5.200, 294.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.791, -112.212, 0.129, -1.533, 0.261, -5.231, -0.000, 5.237, 5.300, 294.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 2.740, -134.790, 0.129, -3.133, -5.255, -0.027, -0.000, 5.255, 5.300, 294.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.771, -112.734, 0.129, -1.533, 0.181, -5.217, -0.000, 5.220, 5.400, 294.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 2.216, -134.796, 0.129, -3.131, -5.224, -0.155, -0.000, 5.227, 5.400, 294.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.754, -113.255, 0.129, -1.536, 0.128, -5.210, -0.000, 5.211, 5.500, 294.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 1.695, -134.814, 0.129, -3.123, -5.209, -0.224, -0.000, 5.214, 5.500, 294.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.742, -113.776, 0.129, -1.539, 0.105, -5.208, -0.000, 5.209, 5.600, 294.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 1.174, -134.830, 0.129, -3.119, -5.206, -0.162, -0.000, 5.209, 5.600, 294.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.727, -114.297, 0.129, -1.540, 0.204, -5.203, -0.000, 5.207, 5.700, 294.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 0.653, -134.845, 0.129, -3.117, -5.206, -0.155, -0.000, 5.209, 5.700, 294.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.705, -114.817, 0.129, -1.536, 0.255, -5.204, -0.000, 5.210, 5.800, 294.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 0.132, -134.857, 0.129, -3.118, -5.209, -0.102, -0.000, 5.210, 5.800, 294.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.682, -115.338, 0.129, -1.533, 0.198, -5.208, -0.000, 5.212, 5.900, 294.727, 0.000
